ARIMA,SARIMA,LSTM
143.75,143.82202866366174,189.55034
143.75,144.08642483811144,184.01157
143.75,144.67917648988148,176.24353
143.75,144.11100504718686,172.92877
143.75,143.88381417910188,172.76122
143.75,144.10105140078983,178.27487
143.75,143.95088951087607,180.0371
143.75,144.27544679331294,182.39119
143.75,144.43772543450902,181.13878
143.75,144.56668267649303,181.81354
143.75,145.09982242265815,190.79443
143.75,145.01154247207108,192.13678
143.75,144.43642725820456,192.18243
143.75,144.4511403631979,190.8535
143.75,144.4485440105889,190.89085
143.75,144.53898714814116,189.54202
143.75,143.9387727585318,191.58418
143.75,143.9387727585318,193.79987
143.75,143.93184871136546,202.17023
143.75,144.4688829864441,198.78825
143.75,144.5826939577909,194.3387
143.75,144.83282004424527,188.04683
143.75,144.8587842306488,184.89055
143.75,144.61601535700458,183.71968
143.75,145.10198560962334,184.91591
143.75,145.3992805293106,182.16537
143.75,145.5788686281106,183.55553
143.75,145.54122019465305,184.236
143.75,145.86318112443934,185.62996
143.75,145.87875990040686,184.7215
143.75,146.40108041017868,181.79903
143.75,146.41103331528436,170.12752
143.75,146.9398456970489,164.95009
143.75,147.03504903448882,162.18262
143.75,147.6430531422387,160.33922
143.75,147.48683287723324,155.93057
143.75,147.09260393847123,157.00476
143.75,147.03375085818433,160.64015
143.75,147.68632744655807,161.44688
143.75,147.44658776100994,160.54063
143.75,147.58939309732656,159.96645
143.75,147.4716869367528,160.04663
143.75,147.18131639438863,165.05714
143.75,147.22112867512485,169.18013
143.75,147.03201984639276,169.47595
143.75,147.0173067413994,168.62862
143.75,147.06750476272836,169.99818
143.75,146.67414116478378,168.65517
143.75,146.7914148200272,166.71822
143.75,146.86108647639392,165.834
143.75,146.59062207439786,169.70322
143.75,146.14359843154114,173.96643
143.75,146.14048144123012,177.83873
143.75,146.1290398807161,184.53633
143.75,146.1033889653516,186.07788
143.75,146.12797618926834,184.20908
143.75,146.13780771603243,183.71829
143.75,146.12840692639162,188.79147
143.75,146.13490507771292,196.62216
143.75,146.12086008710367,202.06783
143.75,146.1138375918,206.12724
143.75,146.1082570568662,211.49141
143.75,146.08518580524589,216.02704
143.75,146.0890060586929,219.95813
143.75,146.11389376947645,223.39531
143.75,146.11325707009348,231.26328
143.75,146.1133694254464,241.09744
143.75,146.10945556158836,248.51328
143.75,146.13542942174118,256.72876
143.75,146.13542942174118,258.0445
143.75,146.13572905506538,256.72333
143.75,146.1124892704157,259.05823
143.75,146.10756417980676,270.12405
143.75,146.0967401474233,263.90256
143.75,146.09561656531946,263.4191
143.75,146.1061222194368,258.17227
143.75,146.0850921948348,245.07469
143.75,146.07222696400765,246.37187
143.75,146.06445541396803,252.88643
143.75,146.0660846237346,256.72507
143.75,146.0521519884801,260.6613
143.75,146.05147782778795,274.77917
143.75,146.02887477109584,282.30392
143.75,146.02844406605143,279.06757
143.75,146.0055600781151,274.95096
143.75,146.00144021991852,269.964
143.75,145.97512926513232,268.54248
143.75,145.981889588421,270.24872
143.75,145.9989495714885,275.5669
143.75,146.00149639759496,280.20078
143.75,145.97325659971798,288.12228
143.75,145.98363116782784,292.87613
143.75,145.97745136624565,292.0222
143.75,145.98254501845858,269.7593
143.75,145.99511060167424,259.09058
143.75,145.99338775292202,263.95123
143.75,146.00157130592606,264.82175
143.75,146.00220800530903,264.16794
143.75,146.0000357208578,257.66885
143.75,146.01705825690343,262.6016
143.75,146.01198332105778,266.27756
143.75,146.00896832859775,262.71176
143.75,146.02067248743728,255.73357
143.75,146.0400171245962,256.80533
143.75,146.04015201018348,254.32579
143.75,146.04064713575505,251.50534
143.75,146.0417571612726,249.40439
143.75,146.04069316626249,243.68051
143.75,146.04026771378136,243.59021
143.75,146.0406745264131,242.49908
143.75,146.04039332343532,240.12035
143.75,146.04100111063312,234.59894
143.75,146.04130500423196,227.439
143.75,146.04154649799895,220.59383
143.75,146.0425448903626,215.84956
143.75,146.04237957155235,224.73032
143.75,146.0413025731821,231.27466
143.75,146.04133012590495,235.86386
143.75,146.04132526380522,232.61768
143.75,146.04149463354088,235.98322
143.75,146.04037063281228,238.12856
143.75,146.04037063281228,251.2124
143.75,146.04035766638862,256.9822
143.75,146.04136335190185,258.6365
143.75,146.04157648177167,249.31094
143.75,146.04204488424298,252.76126
143.75,146.04209350647687,252.2976
143.75,146.04163888160352,251.42075
143.75,146.04254894128798,249.0303
143.75,146.04310567520193,265.7085
143.75,146.04344198362338,269.22653
143.75,146.04337148070414,271.27924
143.75,146.04397440580212,274.93137
143.75,146.04400357963706,274.82886
143.75,146.0449817111909,267.57477
143.75,146.04500034965207,265.3847
143.75,146.04599063831006,262.5468
143.75,146.0461689223074,256.78888
143.75,146.04730751057176,247.16032
143.75,146.04701496228446,245.21739
143.75,146.04627670338553,243.6641
143.75,146.04616649125754,240.85788
143.75,146.04738854886477,243.86482
143.75,146.0469395966472,248.31642
143.75,146.0472070232615,250.97473
143.75,146.04698659900555,248.0619
143.75,146.04644283213352,256.4821
143.75,146.04651738721472,259.88535
143.75,146.0461632496516,260.62418
143.75,146.04613569692876,259.80637
143.75,146.04622970102716,262.0828
143.75,146.04549306262203,262.7057
143.75,146.0457126769402,259.75266
143.75,146.04584314864144,252.9128
143.75,146.04533665931,252.27429
143.75,146.04449953359466,253.55812
143.75,146.0444936965147,245.8321
143.75,146.04447227030005,226.983
143.75,146.044424234718,214.0758
143.75,146.04447027836187,210.36684
143.75,146.044488689522,213.18878
143.75,146.04447108498837,212.71634
143.75,146.0444832538516,207.99014
143.75,146.04445695228344,206.55632
143.75,146.04444380149937,200.25748
143.75,146.0444333510246,199.26999
143.75,146.04439014628963,202.61018
143.75,146.04439730034613,212.67787
143.75,146.04444390670136,218.6496
143.75,146.04444271437646,219.90273
143.75,146.04444292478044,221.46016
143.75,146.04443559542295,221.93936
143.75,146.04448423577253,214.13367
143.75,146.04448423577253,213.04227
143.75,146.04448479688548,219.35893
143.75,146.04444127654455,231.84
143.75,146.0444320534977,241.05379
143.75,146.0444117837066,237.6033
143.75,146.04440967961327,234.94257
143.75,146.04442935318838,234.81456
143.75,146.04438997098865,238.83322
143.75,146.04436587871584,236.10495
143.75,146.04435132520285,235.10553
143.75,146.04435437616763,235.38062
143.75,146.04432828500347,242.83783
143.75,146.04432702252606,244.64064
143.75,146.04428469456354,241.70451
143.75,146.0442838879971,239.1479
143.75,146.04424103394436,236.07367
143.75,146.0442333188284,237.07516
143.75,146.04418404721335,238.43434
143.75,146.04419670703697,241.21278
143.75,146.04422865467723,243.1811
143.75,146.04423342403038,240.92905
143.75,146.04418054033758,237.71819
143.75,146.04419996843248,238.00352
143.75,146.0441883957318,246.58623
143.75,146.04419793443813,252.36613
143.75,146.04422146557124,252.9194
143.75,146.04421823925196,255.88432
143.75,146.04423356430863,250.00261
143.75,146.04423475663353,252.0279
143.75,146.04423068867158,252.31015
143.75,146.0442625661861,255.06702
143.75,146.04425306252926,259.68854
143.75,146.04424741645715,255.55746
143.75,146.04426933443062,249.80582
143.75,146.04430556046358,247.6775
143.75,146.04430581305917,240.60918
143.75,146.0443067402637,237.39336
143.75,146.04430881897008,236.57428
143.75,146.0443068264634,238.70493
143.75,146.04430602973326,236.18687
143.75,146.0443067915572,234.05647
143.75,146.04430626495812,228.8744
143.75,146.04430740314018,221.20113
143.75,146.04430797223122,218.82921
143.75,146.04430842446826,215.91258
143.75,146.0443102941231,212.51558
143.75,146.04430998453628,211.43823
143.75,146.0443079676787,209.25362
143.75,146.04430801927572,208.52531
143.75,146.04430801017062,207.65198
143.75,146.04430832734346,191.8177
143.75,146.04430622246616,183.94304
143.75,146.04430622246616,186.33255
143.75,146.0443061981844,189.33423
143.75,146.04430808149687,188.27008
143.75,146.04430848061781,188.18594
143.75,146.04430935777893,187.70128
143.75,146.0443094488321,183.39133
143.75,146.04430859747183,183.35217
143.75,146.04431030170912,185.42506
143.75,146.04431134428546,187.84341
143.75,146.04431197407862,191.33516
143.75,146.04431184205023,189.73196
143.75,146.04431297112723,185.84248
143.75,146.04431302576006,186.58035
143.75,146.04431485747318,194.585
143.75,146.04431489237678,198.82654
143.75,146.04431674685608,196.28467
143.75,146.04431708072235,194.77667
143.75,146.0443192129172,195.8274
143.75,146.04431866507215,193.34578
143.75,146.04431728256026,196.30634
143.75,146.04431707616982,198.53537
143.75,146.04431936467483,200.77626
143.75,146.04431852393753,201.57587
143.75,146.04431902473812,202.12144
143.75,146.04431861195724,193.43614
143.75,146.04431759366383,184.19453
143.75,146.04431773328056,177.81154
143.75,146.0443170700994,176.76889
143.75,146.04431701850237,175.2824
143.75,146.04431719454058,176.04686
143.75,146.04431581506333,176.62297
143.75,146.04431622632745,172.26154
143.75,146.0443164706573,165.65474
143.75,146.04431552217224,162.91714
143.75,146.04431395451587,167.96196
143.75,146.04431394358497,170.17769
143.75,146.04431390346085,173.24783
143.75,146.04431381350628,173.14209
143.75,146.0443138997306,171.44278
143.75,146.04431393420856,171.40836
143.75,146.04431390124117,174.49968
143.75,146.04431392402938,177.6372
143.75,146.04431387477536,176.74538
143.75,146.04431385014834,175.38649
143.75,146.0443138305781,169.81036
143.75,146.04431374967007,167.66518
143.75,146.0443137630672,168.75345
143.75,146.0443138503453,166.31908
143.75,146.04431384811247,169.21944
143.75,146.04431384850648,173.58351
143.75,146.04431383478104,172.90721
143.75,146.04431392586812,173.39967
143.75,146.04431392586812,171.73741
143.75,146.0443139269189,165.28055
143.75,146.04431384541988,159.22504
143.75,146.0443138281482,155.6033
143.75,146.04431379018968,151.3616
143.75,146.0443137862494,147.7875
143.75,146.04431382309141,143.59274
143.75,146.04431374934174,142.85028
143.75,146.04431370422498,152.2566
143.75,146.04431367697111,163.03717
143.75,146.04431368268456,167.44572
143.75,146.04431363382454,182.9292
143.75,146.04431363146034,185.51117
143.75,146.04431355219424,182.55132
143.75,146.04431355068382,180.25261
143.75,146.0443134704325,179.96814
143.75,146.04431345598468,182.24934
143.75,146.04431336371542,179.65283
143.75,146.04431338742305,176.04965
143.75,146.0443134472503,172.7454
143.75,146.0443134561817,169.35854
143.75,146.04431335714824,169.77937
143.75,146.04431339353056,173.78572
143.75,146.04431337185875,174.1579
143.75,146.04431338972157,174.24475
143.75,146.0443134337875,175.68704
143.75,146.04431342774566,175.07619
143.75,146.04431345644437,181.1668
143.75,146.0443134586772,181.13618
143.75,146.04431345105928,176.5167
143.75,146.0443135107552,176.9043
143.75,146.04431349295803,176.38977
143.75,146.0443134823848,175.7466
143.75,146.04431352342985,176.95352
143.75,146.0443135912691,177.3802
143.75,146.0443135917421,176.43704
143.75,146.04431359347845,174.93869
143.75,146.04431359737117,174.31377
143.75,146.04431359363988,175.8491
143.75,146.0443135921479,176.61523
143.75,146.04431359357451,174.74008
143.75,146.04431359258837,171.7139
143.75,146.0443135947198,173.93549
143.75,146.04431359578552,178.72118
143.75,146.0443135966324,178.71762
143.75,146.04431360013365,183.4306
143.75,146.0443135995539,184.68027
143.75,146.044313595777,182.75296
143.75,146.04431359587363,182.23285
143.75,146.04431359585658,181.9434
143.75,146.04431359645054,184.6533
143.75,146.04431359250881,191.63931
143.75,146.04431359250881,195.94182
143.75,146.04431359246334,197.60376
143.75,146.04431359599016,205.13988
143.75,146.0443135967376,222.53705
143.75,146.04431359838023,240.85538
143.75,146.04431359855073,251.1838
143.75,146.0443135969564,254.30037
143.75,146.0443136001479,260.50595
143.75,146.0443136021003,263.33685
143.75,146.04431360327968,248.0294
143.75,146.04431360303244,245.79639
143.75,146.0443136051468,249.77727
143.75,146.04431360524913,254.77101
143.75,146.04431360867932,250.98947
143.75,146.0443136087447,249.1246
143.75,146.0443136122175,241.77724
143.75,146.04431361284273,247.09901
143.75,146.0443136168356,246.98845
143.75,146.04431361580967,225.76291
143.75,146.04431361322068,218.78522
143.75,146.04431361283417,217.79553
143.75,146.04431361711977,226.4241
143.75,146.04431361554535,224.85577
143.75,146.04431361648318,229.15839
143.75,146.04431361571017,221.49693
143.75,146.04431361380324,211.19572
143.75,146.0443136140647,201.47429
143.75,146.04431361282278,198.97055
143.75,146.04431361272614,193.64664
143.75,146.0443136130558,195.56111
143.75,146.0443136104725,198.16335
143.75,146.04431361124267,197.87865
143.75,146.04431361170023,203.68918
143.75,146.04431360992405,202.9369
143.75,146.04431360698834,209.57268
143.75,146.04431360696788,214.50256
143.75,146.04431360689273,220.36868
143.75,146.04431360672427,221.64557
143.75,146.04431360688574,222.79045
143.75,146.0443136069503,215.01353
143.75,146.04431360688858,217.01949
143.75,146.04431360693124,214.57074
143.75,146.044313606839,210.57143
143.75,146.04431360679288,206.68307
143.75,146.04431360675625,205.54933
143.75,146.04431360660473,210.43466
143.75,146.04431360662983,211.03867
143.75,146.04431360679328,216.2616
143.75,146.0443136067891,225.83298
143.75,146.04431360678984,217.47717
143.75,146.04431360676415,215.32863
143.75,146.04431360693474,221.61676
143.75,146.04431360693474,226.48589
143.75,146.0443136069367,229.23618
143.75,146.04431360678407,230.21945
143.75,146.04431360675173,227.94582
143.75,146.04431360668065,227.3449
143.75,146.04431360667326,226.88972
143.75,146.04431360674224,237.865
143.75,146.04431360660413,239.59001
143.75,146.04431360651964,246.88445
143.75,146.0443136064686,252.98103
143.75,146.04431360647928,256.65994
143.75,146.0443136063878,255.43077
143.75,146.04431360638335,258.63397
143.75,146.0443136062349,260.9703
143.75,146.04431360623207,258.99628
143.75,146.04431360608177,251.45757
143.75,146.04431360605471,242.57423
143.75,146.04431360588194,246.05821
143.75,146.04431360592633,242.51295
143.75,146.04431360603837,243.0793
143.75,146.04431360605508,241.46844
143.75,146.04431360586963,239.11984
143.75,146.04431360593776,224.21011
143.75,146.04431360589717,218.38681
143.75,146.04431360593063,217.75305
143.75,146.04431360601313,219.49039
143.75,146.04431360600182,220.29892
143.75,146.04431360605557,220.40822
143.75,146.04431360605975,219.15388
143.75,146.04431360604548,217.91449
143.75,146.04431360615726,214.67702
143.75,146.04431360612392,243.93498
143.75,146.0443136061041,265.71298
143.75,146.04431360618096,267.24512
143.75,146.044313606308,262.36017
143.75,146.0443136063089,258.16745
143.75,146.04431360631213,251.36981
143.75,146.0443136063194,248.33679
143.75,146.04431360631241,243.70332
143.75,146.04431360630963,248.06143
143.75,146.0443136063123,277.09103
143.75,146.04431360631045,296.07004
143.75,146.04431360631443,318.61652
143.75,146.04431360631642,347.41357
143.75,146.044313606318,336.4008
143.75,146.04431360632458,329.60602
143.75,146.0443136063235,312.68927
143.75,146.04431360631642,315.56055
143.75,146.0443136063166,333.24948
143.75,146.04431360631656,345.05347
143.75,146.04431360631767,343.36148
143.75,146.04431360631028,339.088
143.75,146.04431360631028,348.41528
143.75,146.0443136063102,339.8198
143.75,146.0443136063168,335.8078
143.75,146.04431360631818,331.0841
143.75,146.04431360632125,340.32092
143.75,146.04431360632157,353.80157
143.75,146.04431360631858,351.94205
143.75,146.04431360632455,355.09415
143.75,146.04431360632822,365.7907
143.75,146.04431360633043,385.3836
143.75,146.04431360632998,389.48822
143.75,146.04431360633393,397.6821
143.75,146.04431360633413,420.22314
143.75,146.04431360634055,417.36243
143.75,146.04431360634067,430.44373
143.75,146.04431360634717,458.18402
143.75,146.04431360634834,477.21497
143.75,146.04431360635581,436.56052
143.75,146.04431360635388,424.13702
143.75,146.04431360634902,412.13742
143.75,146.0443136063483,421.23718
143.75,146.04431360635633,455.18494
143.75,146.04431360635337,452.10623
143.75,146.04431360635513,425.4852
143.75,146.04431360635368,407.6358
143.75,146.0443136063501,394.89203
143.75,146.04431360635058,372.61072
143.75,146.04431360634825,398.56232
143.75,146.04431360634808,407.77045
143.75,146.0443136063487,391.7711
143.75,146.04431360634388,387.76498
143.75,146.04431360634533,388.32373
143.75,146.04431360634618,396.79318
143.75,146.04431360634285,392.3683
143.75,146.04431360633737,419.7404
143.75,146.04431360633734,412.40076
143.75,146.0443136063372,419.3296
143.75,146.04431360633689,418.74857
143.75,146.0443136063372,409.22113
143.75,146.0443136063373,404.9259
143.75,146.0443136063372,399.93628
143.75,146.04431360633728,391.09894
143.75,146.0443136063371,391.09644
143.75,146.04431360633703,384.26334
143.75,146.04431360633697,189.55034
143.75,146.0443136063367,184.01157
143.75,146.04431360633674,176.24353
143.75,146.04431360633706,172.92877
143.75,146.04431360633706,172.76122
143.75,146.04431360633706,178.27487
143.75,146.044313606337,180.0371
143.75,146.0443136063373,182.39119
143.75,146.0443136063373,181.13878
143.75,146.0443136063373,181.81354
143.75,146.04431360633703,190.79443
143.75,146.04431360633697,192.13678
143.75,146.04431360633683,192.18243
143.75,146.04431360633683,190.8535
143.75,146.04431360633697,190.89085
143.75,146.04431360633671,189.54202
143.75,146.04431360633654,191.58418
143.75,146.04431360633646,193.79987
143.75,146.0443136063365,202.17023
143.75,146.04431360633632,198.78825
143.75,146.04431360633632,194.3387
143.75,146.04431360633603,188.04683
143.75,146.04431360633603,184.89055
143.75,146.04431360633575,183.71968
143.75,146.0443136063357,184.91591
143.75,146.04431360633538,182.16537
143.75,146.04431360633546,183.55553
143.75,146.04431360633566,184.236
143.75,146.0443136063357,185.62996
143.75,146.04431360633535,184.7215
